filename,ground_truth,prediction,confidences
ADNI_137_S_4623_MR_MPRAGE_br_raw_20121112150401784_83_S174216_I346141.nii.gz,T1,T1,12.03;87.97
ADNI_136_S_0107_MR_Axial_PD_T2_FSE__br_raw_20080225144642672_1_S46155_I92492.nii.gz,PD,PD,67.37;32.63
ADNI_037_S_4146_MR_MPRAGE_br_raw_20130923155524474_39_S201819_I391537.nii.gz,T1,T1,4.88;95.12
ADNI_137_S_0994_MR_Axial_PD_T2_FSE__br_raw_20081204135806786_1_S60514_I129207.nii.gz,PD,PD,88.78;11.22
ADNI_032_S_0147_MR____________MPRAGE__br_raw_20070221181940569_1_S26883_I41234.nii.gz,T1,T1,7.22;92.78
ADNI_041_S_4989_MR_MPRAGE_br_raw_20121019135519032_133_S171438_I341287.nii.gz,T1,T1,7.48;92.52
ADNI_002_S_2010_MR_MPRAGE_br_raw_20110122171028174_96_S98069_I213880.nii.gz,T1,T1,13.16;86.84
ADNI_021_S_0753_MR_Axial_PD_T2_FSE__br_raw_20070315133959498_5_S28162_I44824.nii.gz,PD,PD,94.05;5.95
ADNI_067_S_2304_MR_MPRAGE_br_raw_20140319135917488_149_S214348_I417140.nii.gz,T1,T1,5.77;94.23
ADNI_073_S_2154_MR_MPRAGE_br_raw_20101101165354938_93_S93987_I200978.nii.gz,T1,T1,4.52;95.48
ADNI_130_S_4468_MR_MPRAGE_br_raw_20120202122146646_16_S139435_I282292.nii.gz,T1,T1,18.64;81.36
ADNI_031_S_4194_MR_MPRAGE_br_raw_20111202161409273_94_S131659_I269697.nii.gz,T1,T1,12.27;87.73
ADNI_136_S_0579_MR_Axial_PD_T2_FSE__br_raw_20080819103722495_1_S55494_I116327.nii.gz,PD,PD,78.77;21.23
ADNI_012_S_4094_MR_MPRAGE_br_raw_20111010130404859_148_S124904_I260301.nii.gz,T1,T1,15.11;84.89
ADNI_002_S_0954_MR_Axial_PD_T2_FSE__br_raw_20061011164601307_1_S19977_I26137.nii.gz,PD,PD,60.32;39.68
ADNI_016_S_0769_MR_MPRAGE_br_raw_20070326094746455_98_S28899_I46724.nii.gz,T1,T1,2.05;97.95
ADNI_051_S_1072_MR_MPRAGE_br_raw_20071213113903625_98_S43798_I84916.nii.gz,T1,T1,10.44;89.56
ADNI_073_S_4795_MR_MPRAGE_br_raw_20131206170743804_166_S207715_I400951.nii.gz,T1,T1,6.76;93.24
ADNI_002_S_1155_MR_Axial_PD_T2_FSE__br_raw_20080116154812103_1_S44641_I87698.nii.gz,PD,PD,85.03;14.97
ADNI_013_S_2324_MR_MPRAGE_br_raw_20111018125913267_61_S125575_I261321.nii.gz,T1,T1,16.05;83.95
ADNI_094_S_1015_MR_Axial_PD_T2_FSE__br_raw_20061031084413073_1_S21456_I28004.nii.gz,PD,PD,75.29;24.71
ADNI_072_S_4226_MR_MPRAGE_br_raw_20130607160428578_1_S191718_I375656.nii.gz,T1,T1,5.71;94.29
ADNI_021_S_0273_MR_Axial_PD_T2_FSE__br_raw_20090407130720625_55_S65680_I140700.nii.gz,PD,PD,96.41;3.59
ADNI_031_S_4042_MR_MPRAGE_br_raw_20120514143547527_155_S150297_I303441.nii.gz,T1,T1,13.76;86.24
ADNI_037_S_4146_MR_MPRAGE_br_raw_20111208102756157_80_S132129_I270444.nii.gz,T1,T1,4.13;95.87
ADNI_116_S_0834_MR_FSE_PD_T2__br_raw_20091116094148754_95_S76465_I159284.nii.gz,PD,PD,90.67;9.33
ADNI_020_S_1288_MR_MPRAGE_br_raw_20071011231232625_63_S41380_I77627.nii.gz,T1,T1,3.33;96.67
ADNI_099_S_0958_MR_MPRAGE_br_raw_20061020114253046_98_S20494_I26822.nii.gz,T1,T1,8.89;91.11
ADNI_072_S_2027_MR_MPRAGE_br_raw_20101025134848873_144_S93541_I198277.nii.gz,T1,T1,4.96;95.04
ADNI_051_S_1072_MR_MPRAGE_br_raw_20080722114138696_98_S53880_I113929.nii.gz,T1,T1,11.09;88.91
ADNI_021_S_0273_MR_Axial_PD_T2_FSE__br_20060314125959847_1_S12167_I11939.nii.gz,PD,PD,95.90;4.10
ADNI_098_S_0269_MR_Axial_PD_T2_FSE__br_raw_20061024153707276_1_S20924_I27368.nii.gz,PD,PD,87.03;12.97
ADNI_128_S_2057_MR_MPRAGE_br_raw_20101220152933614_90_S96859_I209262.nii.gz,T1,T1,5.82;94.18
ADNI_127_S_1382_MR_Axial_PD_T2_FSE__br_raw_20070317113330531_1_S28260_I45059.nii.gz,PD,PD,70.90;29.10
ADNI_022_S_5004_MR_MPRAGE_br_raw_20121108162818727_90_S173866_I345640.nii.gz,T1,T1,3.21;96.79
ADNI_031_S_4042_MR_MPRAGE_br_raw_20110823125732465_109_S119942_I252280.nii.gz,T1,T1,15.25;84.75
ADNI_116_S_0834_MR_FSE_PD_T2__br_raw_20081017131439606_1_S57589_I122016.nii.gz,PD,PD,92.95;7.05
ADNI_020_S_0213_MR_MPRAGE_br_raw_20070606134030953_18_S33112_I56144.nii.gz,T1,T1,8.11;91.89
ADNI_016_S_1121_MR_MPRAGE_br_raw_20070118143850671_98_S25229_I36695.nii.gz,T1,T1,3.51;96.49
ADNI_021_S_0231_MR_Axial_PD_T2_FSE__br_20060228112527280_21_S11836_I11432.nii.gz,PD,PD,94.80;5.20
ADNI_073_S_4552_MR_MPRAGE_br_raw_20120918095916494_87_S167859_I335137.nii.gz,T1,T1,4.31;95.69
ADNI_016_S_0769_MR_MPRAGE_br_raw_20080305100549125_97_S46621_I95313.nii.gz,T1,T1,14.09;85.91
ADNI_003_S_0908_MR_MPRAGE_br_raw_20070424124024359_98_S30451_I50620.nii.gz,T1,T1,12.27;87.73
ADNI_035_S_4256_MR_MPRAGE_br_raw_20121024163153247_91_S172021_I342094.nii.gz,T1,T1,5.66;94.34
ADNI_123_S_4806_MR_MPRAGE_br_raw_20140902115217092_44_S229915_I442383.nii.gz,T1,T1,3.66;96.34
ADNI_020_S_1288_MR_MPRAGE_br_raw_20080305203620531_98_S46664_I95385.nii.gz,T1,T1,10.42;89.58
ADNI_136_S_1227_MR_Axial_PD_T2_FSE__br_raw_20100323144533949_17_S81554_I168512.nii.gz,PD,PD,74.02;25.98
ADNI_130_S_4817_MR_MPRAGE_br_raw_20120703164355680_68_S156603_I314330.nii.gz,T1,T1,16.50;83.50
ADNI_116_S_4195_MR_MPRAGE_br_raw_20120321142746129_154_S144427_I291506.nii.gz,T1,T1,3.46;96.54
ADNI_052_S_0989_MR_Axial_PD_T2_FSE__br_raw_20100222163531281_49_S80359_I166657.nii.gz,PD,PD,76.02;23.98
ADNI_023_S_4502_MR_MPRAGE_br_raw_20140425164243094_117_S217095_I421770.nii.gz,T1,T1,5.93;94.07
ADNI_032_S_0147_MR____________MPRAGE__br_raw_20060927180549924_1_S19428_I25240.nii.gz,T1,T1,7.43;92.57
ADNI_137_S_0443_MR_Axial_PD_T2_FSE__br_raw_20081107104513561_1_S58444_I125491.nii.gz,PD,PD,93.95;6.05
ADNI_128_S_0608_MR_FSE_PD_T2__br_raw_20060605134859638_1_S15210_I16501.nii.gz,PD,PD,93.97;6.03
ADNI_016_S_1121_MR_MPRAGE_br_raw_20070724154216724_139_S36294_I62010.nii.gz,T1,T1,10.05;89.95
ADNI_051_S_1072_MR_MPRAGE_br_raw_20070129164321361_92_S25623_I37605.nii.gz,T1,T1,5.52;94.48
ADNI_033_S_1279_MR_Axial_PD_T2_FSE__br_raw_20080904153816034_1_S56207_I117468.nii.gz,PD,PD,68.32;31.68
ADNI_128_S_4607_MR_MPRAGE_br_raw_20120628122548116_6_S155889_I313318.nii.gz,T1,T1,6.81;93.19
ADNI_073_S_4259_MR_MPRAGE_br_raw_20111007172722225_140_S124875_I260209.nii.gz,T1,T1,5.16;94.84
ADNI_116_S_0834_MR_FSE_PD_T2__br_raw_20071128142850343_1_S43076_I83608.nii.gz,PD,PD,88.39;11.61
ADNI_033_S_1283_MR_Axial_PD_T2_FSE__br_raw_20080313154325368_1_S47017_I97384.nii.gz,PD,PD,71.25;28.75
ADNI_137_S_0994_MR_Axial_PD_T2_FSE__br_raw_20101210121633472_37_S96244_I208148.nii.gz,PD,PD,91.23;8.77
ADNI_002_S_1155_MR_Axial_PD_T2_FSE__br_raw_20090313184957981_1_S64558_I138948.nii.gz,PD,PD,79.52;20.48
ADNI_002_S_2073_MR_MPRAGE_br_raw_20101206185927496_48_S95924_I207661.nii.gz,T1,T1,11.48;88.52
ADNI_137_S_0366_MR_Axial_PD_T2_FSE__br_raw_20080613143147159_1_S51537_I109472.nii.gz,PD,PD,89.47;10.53
ADNI_068_S_4914_MR_MPRAGE_br_raw_20120905095904905_31_S166046_I330203.nii.gz,T1,T1,5.31;94.69
ADNI_130_S_0956_MR_Axial_PD_T2_FSE__br_raw_20071101101629749_13_S42128_I80091.nii.gz,PD,PD,82.37;17.63
ADNI_021_S_0332_MR_Axial_PD_T2_FSE__br_20060404150235509_1_S12754_I12860.nii.gz,PD,PD,93.80;6.20
ADNI_031_S_4029_MR_MPRAGE_br_raw_20120518144104434_51_S151023_I305272.nii.gz,T1,T1,17.69;82.31
ADNI_041_S_4143_MR_MPRAGE_br_raw_20111123151208864_12_S130724_I268469.nii.gz,T1,T1,4.90;95.10
ADNI_011_S_2274_MR_MPRAGE_br_raw_20110204092059559_173_S98923_I215813.nii.gz,T1,T1,5.01;94.99
ADNI_019_S_4680_MR_MPRAGE_br_raw_20120712140629573_82_S157405_I316051.nii.gz,T1,T1,10.68;89.32
ADNI_941_S_4187_MR_MPRAGE_br_raw_20110826090248791_112_S120388_I252869.nii.gz,T1,T1,4.17;95.83
ADNI_072_S_2093_MR_MPRAGE_br_raw_20110415144208201_154_S104401_I227865.nii.gz,T1,T1,8.92;91.08
ADNI_041_S_4513_MR_MPRAGE_br_raw_20160226085917434_9_S383485_I641043.nii.gz,T1,T1,3.70;96.30
ADNI_052_S_0989_MR_Axial_PD_T2_FSE__br_raw_20070608144229218_1_S33299_I56497.nii.gz,PD,PD,80.24;19.76
ADNI_116_S_0834_MR_FSE_PD_T2__br_raw_20070427133340921_1_S31021_I51803.nii.gz,PD,PD,90.19;9.81
ADNI_002_S_0729_MR_Axial_PD_T2_FSE__br_raw_20080409214919271_1_S48529_I101814.nii.gz,PD,PD,72.02;27.98
ADNI_007_S_0128_MR_Axial_PD_T2_FSE__br_raw_20100224153948222_77_S80420_I166749.nii.gz,PD,T1,45.27;54.73
ADNI_036_S_4562_MR_MPRAGE_br_raw_20130408144251858_63_S186191_I365840.nii.gz,T1,T1,6.23;93.77
ADNI_052_S_0989_MR_Axial_PD_T2_FSE__br_raw_20080813100440671_1_S55328_I116056.nii.gz,PD,PD,81.41;18.59
ADNI_031_S_4029_MR_MPRAGE_br_raw_20110808152211332_52_S117872_I249331.nii.gz,T1,T1,14.33;85.67
ADNI_098_S_0172_MR_Axial_PD_T2_FSE__br_raw_20060227125250734_1_S11816_I11402.nii.gz,PD,PD,64.23;35.77
ADNI_027_S_1082_MR_Axial_PD_T2_FSE__br_raw_20061127172436408_1_S22936_I30541.nii.gz,PD,PD,75.81;24.19
ADNI_141_S_4976_MR_MPRAGE_br_raw_20121016141822840_67_S171011_I340322.nii.gz,T1,T1,6.09;93.91
ADNI_052_S_0989_MR_Axial_PD_T2_FSE__br_raw_20110118122846496_91_S97707_I212870.nii.gz,PD,PD,74.95;25.05
ADNI_037_S_0588_MR_FSE_PD_T2__br_raw_20090306122930282_1_S64037_I137856.nii.gz,PD,PD,97.58;2.42
ADNI_128_S_4571_MR_MPRAGE_br_raw_20120310102847847_95_S143575_I289722.nii.gz,T1,T1,5.09;94.91
ADNI_072_S_2070_MR_MPRAGE_br_raw_20100908101811461_22_S91785_I192258.nii.gz,T1,T1,6.79;93.21
ADNI_022_S_2263_MR_MPRAGE_br_raw_20110825111833147_85_S120298_I252708.nii.gz,T1,T1,4.02;95.98
ADNI_073_S_4552_MR_MPRAGE_br_raw_20121010091903276_136_S170312_I339298.nii.gz,T1,T1,4.55;95.45
ADNI_021_S_0231_MR_Axial_PD_T2_FSE__br_raw_20080905095630218_47_S56215_I117481.nii.gz,PD,PD,95.44;4.56
ADNI_133_S_0913_MR_MPRAGE_br_raw_20080116145828880_1_S44632_I87682.nii.gz,T1,T1,2.48;97.52
ADNI_037_S_0588_MR_FSE_PD_T2__br_raw_20150416101932564_7_S255798_I487091.nii.gz,PD,PD,96.22;3.78
ADNI_123_S_2363_MR_MPRAGE_br_raw_20111214151106378_74_S130016_I267386.nii.gz,T1,T1,6.57;93.43
ADNI_036_S_4894_MR_MPRAGE_br_raw_20130827143256292_140_S199369_I387580.nii.gz,T1,T1,5.57;94.43
ADNI_099_S_0551_MR_MPRAGE_br_raw_20061128092118218_98_S22948_I30570.nii.gz,T1,T1,10.55;89.45
ADNI_051_S_1072_MR_MPRAGE_br_raw_20070705150742675_95_S34435_I58567.nii.gz,T1,T1,12.38;87.62
ADNI_021_S_0231_MR_Axial_PD_T2_FSE__br_20060912161946951_29_S18784_I24175.nii.gz,PD,PD,94.93;5.07
ADNI_009_S_4741_MR_MPRAGE_br_raw_20140715152207152_93_S225135_I435699.nii.gz,T1,T1,3.08;96.92
ADNI_021_S_0178_MR_Axial_PD_T2_FSE__br_20060210134518011_1_S11570_I10996.nii.gz,PD,PD,89.00;11.00
ADNI_027_S_0485_MR_Axial_PD_T2_FSE__br_raw_20071106160144501_1_S42308_I80990.nii.gz,PD,PD,75.44;24.56
ADNI_068_S_4274_MR_MPRAGE_br_raw_20121212162945749_121_S177356_I351045.nii.gz,T1,T1,3.30;96.70
ADNI_031_S_4194_MR_MPRAGE_br_raw_20121005122635304_54_S169783_I338321.nii.gz,T1,T1,11.44;88.56
ADNI_099_S_0534_MR_MPRAGE_br_raw_20061130083633171_98_S23143_I30899.nii.gz,T1,T1,11.57;88.43
ADNI_036_S_4715_MR_MPRAGE_br_raw_20160607150253624_122_S458475_I727731.nii.gz,T1,T1,7.09;92.91
ADNI_068_S_4274_MR_MPRAGE_br_raw_20120123092754891_58_S138139_I280057.nii.gz,T1,T1,3.14;96.86
ADNI_131_S_0319_MR_Axial_PD_T2_FSE__br_raw_20061020133715198_1_S20476_I26799.nii.gz,PD,PD,72.41;27.59
ADNI_127_S_1382_MR_Axial_PD_T2_FSE__br_raw_20090422154454619_95_S66580_I142383.nii.gz,PD,PD,70.78;29.22
ADNI_133_S_0525_MR_Axial_PD_T2_FSE__br_raw_20070207131942698_1_S26011_I38357.nii.gz,PD,PD,70.00;30.00
ADNI_016_S_1121_MR_MPRAGE_br_raw_20080724121752163_98_S54086_I114256.nii.gz,T1,T1,9.33;90.67
ADNI_072_S_2093_MR_MPRAGE_br_raw_20111024100345807_42_S126075_I262039.nii.gz,T1,T1,8.49;91.51
ADNI_130_S_0289_MR_Axial_PD_T2_FSE__br_raw_20071011131600343_15_S41273_I77458.nii.gz,PD,PD,68.90;31.10
ADNI_136_S_0874_MR_Axial_PD_T2_FSE__br_raw_20100115170247348_1_S78650_I164045.nii.gz,PD,PD,66.70;33.30
ADNI_141_S_4976_MR_MPRAGE_br_raw_20130702143053080_158_S193935_I379001.nii.gz,T1,T1,5.07;94.93
ADNI_031_S_0321_MR_FSE_PD_T2__br_raw_20070420101801265_1_S30063_I49830.nii.gz,PD,PD,89.94;10.06
ADNI_020_S_1288_MR_MPRAGE_br_raw_20090327205547015_98_S65197_I140028.nii.gz,T1,T1,3.68;96.32
ADNI_067_S_4184_MR_MPRAGE_br_raw_20120919152755499_152_S168120_I335543.nii.gz,T1,T1,14.33;85.67
ADNI_033_S_0733_MR_MPRAGE_br_raw_20080808152409133_98_S55160_I115774.nii.gz,T1,T1,2.44;97.56
ADNI_053_S_0507_MR_Axial_PD_T2_FSE__br_raw_20090521121231843_1_S67535_I144311.nii.gz,PD,PD,77.24;22.76
ADNI_116_S_0890_MR_FSE_PD_T2__br_raw_20070123084511343_3_S25385_I37184.nii.gz,PD,PD,92.91;7.09
ADNI_023_S_4448_MR_MPRAGE_br_raw_20120418143224898_33_S147585_I298228.nii.gz,T1,T1,6.41;93.59
ADNI_053_S_0919_MR_Axial_PD_T2_FSE__br_raw_20071025144457796_27_S41933_I78537.nii.gz,PD,PD,85.12;14.88
ADNI_133_S_0913_MR_Axial_PD_T2_FSE__br_raw_20080121134436158_1_S44747_I87903.nii.gz,PD,PD,69.95;30.05
ADNI_136_S_0107_MR_Axial_PD_T2_FSE__br_raw_20100630103302843_71_S88434_I180706.nii.gz,PD,PD,66.35;33.65
ADNI_002_S_2073_MR_MPRAGE_br_raw_20110309121608151_65_S101317_I223325.nii.gz,T1,T1,12.93;87.07
ADNI_136_S_1227_MR_Axial_PD_T2_FSE__br_raw_20070828091010787_1_S38552_I70555.nii.gz,PD,PD,71.27;28.73
ADNI_133_S_0629_MR_Axial_PD_T2_FSE__br_raw_20060628143526764_1_S15912_I17594.nii.gz,PD,PD,86.10;13.90
ADNI_137_S_0366_MR_Axial_PD_T2_FSE__br_raw_20070626090514281_65_S33825_I57390.nii.gz,PD,PD,88.03;11.97
ADNI_128_S_4603_MR_MPRAGE_br_raw_20120409084953060_103_S146618_I296456.nii.gz,T1,T1,4.29;95.71
ADNI_035_S_4256_MR_MPRAGE_br_raw_20120705152016862_136_S156818_I315174.nii.gz,T1,T1,5.43;94.57
ADNI_130_S_4982_MR_MPRAGE_br_raw_20121023145728820_6_S171800_I341787.nii.gz,T1,T1,12.07;87.93
ADNI_137_S_0994_MR_Axial_PD_T2_FSE__br_raw_20111207085101496_83_S132069_I270367.nii.gz,PD,PD,92.61;7.39
ADNI_002_S_2010_MR_MPRAGE_br_raw_20110708102746110_70_S114024_I243872.nii.gz,T1,T1,11.81;88.19
ADNI_116_S_4199_MR_MPRAGE_br_raw_20151022171804757_58_S290376_I532734.nii.gz,T1,T1,4.52;95.48
ADNI_067_S_4310_MR_MPRAGE_br_raw_20111027143057676_114_S126650_I262839.nii.gz,T1,T1,3.81;96.19
ADNI_135_S_4954_MR_MPRAGE_br_raw_20130415123724907_29_S186942_I367180.nii.gz,T1,T1,5.04;94.96
ADNI_073_S_4216_MR_MPRAGE_br_raw_20131023111320076_36_S204742_I395745.nii.gz,T1,T1,4.47;95.53
ADNI_023_S_4502_MR_MPRAGE_br_raw_20130328145650090_58_S185406_I364733.nii.gz,T1,T1,5.36;94.64
ADNI_098_S_0269_MR_Axial_PD_T2_FSE__br_raw_20090407172942754_1_S65764_I140916.nii.gz,PD,PD,76.85;23.15
ADNI_053_S_0507_MR_Axial_PD_T2_FSE__br_raw_20070611152337046_1_S33432_I56715.nii.gz,PD,PD,70.00;30.00
ADNI_123_S_2363_MR_MPRAGE_br_raw_20110422154315603_52_S104979_I228730.nii.gz,T1,T1,5.60;94.40
ADNI_133_S_0913_MR_Axial_PD_T2_FSE__br_raw_20080731085646828_1_S54542_I114932.nii.gz,PD,PD,65.55;34.45
ADNI_941_S_4187_MR_MPRAGE_br_raw_20111129163930852_7_S131234_I269113.nii.gz,T1,T1,3.63;96.37
ADNI_067_S_1185_MR_MPRAGE_br_raw_20070104095346519_63_S24635_I35153.nii.gz,T1,T1,6.42;93.58
ADNI_128_S_2003_MR_MPRAGE_br_raw_20100707221529337_96_S88768_I181153.nii.gz,T1,T1,6.16;93.84
ADNI_024_S_4169_MR_MPRAGE_br_raw_20110815120602493_165_S118604_I250377.nii.gz,T1,T1,8.56;91.44
ADNI_130_S_4982_MR_MPRAGE_br_raw_20130212213732338_114_S182070_I358858.nii.gz,T1,T1,11.14;88.86
ADNI_021_S_0273_MR_Axial_PD_T2_FSE__br_raw_20080402103841216_57_S47803_I100101.nii.gz,PD,PD,95.70;4.30
